1640217908.591896 client started (2062): version 3.2a, socket /private/tmp/tmux-501/default, protocol 8
1640217908.591963 on Darwin 21.2.0 Darwin Kernel Version 21.2.0: Sun Nov 28 20:28:54 PST 2021; root:xnu-8019.61.5~1/RELEASE_X86_64
1640217908.592332 using libevent 2.1.12-stable (select); utf8proc 2.7.0; ncurses 6.2
1640217908.592403 flags are 0x10010000
1640217908.592435 socket is /private/tmp/tmux-501/default
1640217908.592454 trying connect
1640217908.592542 add peer 0x7fe07c831000: 6 (0x0)
1640217908.594338 sending message 100 to peer 0x7fe07c831000 (4 bytes)
1640217908.594374 sending message 111 to peer 0x7fe07c831000 (8 bytes)
1640217908.594385 sending message 101 to peer 0x7fe07c831000 (7 bytes)
1640217908.594395 sending message 109 to peer 0x7fe07c831000 (4 bytes)
1640217908.594404 sending message 102 to peer 0x7fe07c831000 (13 bytes)
1640217908.594413 sending message 108 to peer 0x7fe07c831000 (37 bytes)
1640217908.594422 sending message 112 to peer 0x7fe07c831000 (70 bytes)
1640217908.594431 sending message 112 to peer 0x7fe07c831000 (5 bytes)
1640217908.594440 sending message 112 to peer 0x7fe07c831000 (5 bytes)
1640217908.594449 sending message 112 to peer 0x7fe07c831000 (6 bytes)
1640217908.594457 sending message 112 to peer 0x7fe07c831000 (6 bytes)
1640217908.594466 sending message 112 to peer 0x7fe07c831000 (11 bytes)
1640217908.594474 sending message 112 to peer 0x7fe07c831000 (10 bytes)
1640217908.594483 sending message 112 to peer 0x7fe07c831000 (13 bytes)
1640217908.594491 sending message 112 to peer 0x7fe07c831000 (13 bytes)
1640217908.594500 sending message 112 to peer 0x7fe07c831000 (18 bytes)
1640217908.594508 sending message 112 to peer 0x7fe07c831000 (9 bytes)
1640217908.594517 sending message 112 to peer 0x7fe07c831000 (21 bytes)
1640217908.594526 sending message 112 to peer 0x7fe07c831000 (13 bytes)
1640217908.594534 sending message 112 to peer 0x7fe07c831000 (7 bytes)
1640217908.594543 sending message 112 to peer 0x7fe07c831000 (13 bytes)
1640217908.594551 sending message 112 to peer 0x7fe07c831000 (7 bytes)
1640217908.594560 sending message 112 to peer 0x7fe07c831000 (13 bytes)
1640217908.594568 sending message 112 to peer 0x7fe07c831000 (9 bytes)
